Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
1/22/2020,Brazil,,-14.235,-51.9253,0,0,0
1/23/2020,Brazil,,-14.235,-51.9253,0,0,0
1/24/2020,Brazil,,-14.235,-51.9253,0,0,0
1/25/2020,Brazil,,-14.235,-51.9253,0,0,0
1/26/2020,Brazil,,-14.235,-51.9253,0,0,0
1/27/2020,Brazil,,-14.235,-51.9253,0,0,0
1/28/2020,Brazil,,-14.235,-51.9253,0,0,0
1/29/2020,Brazil,,-14.235,-51.9253,0,0,0
1/30/2020,Brazil,,-14.235,-51.9253,0,0,0
1/31/2020,Brazil,,-14.235,-51.9253,0,0,0
2/1/2020,Brazil,,-14.235,-51.9253,0,0,0
2/2/2020,Brazil,,-14.235,-51.9253,0,0,0
2/3/2020,Brazil,,-14.235,-51.9253,0,0,0
2/4/2020,Brazil,,-14.235,-51.9253,0,0,0
2/5/2020,Brazil,,-14.235,-51.9253,0,0,0
2/6/2020,Brazil,,-14.235,-51.9253,0,0,0
2/7/2020,Brazil,,-14.235,-51.9253,0,0,0
2/8/2020,Brazil,,-14.235,-51.9253,0,0,0
2/9/2020,Brazil,,-14.235,-51.9253,0,0,0
2/10/2020,Brazil,,-14.235,-51.9253,0,0,0
2/11/2020,Brazil,,-14.235,-51.9253,0,0,0
2/12/2020,Brazil,,-14.235,-51.9253,0,0,0
2/13/2020,Brazil,,-14.235,-51.9253,0,0,0
2/14/2020,Brazil,,-14.235,-51.9253,0,0,0
2/15/2020,Brazil,,-14.235,-51.9253,0,0,0
2/16/2020,Brazil,,-14.235,-51.9253,0,0,0
2/17/2020,Brazil,,-14.235,-51.9253,0,0,0
2/18/2020,Brazil,,-14.235,-51.9253,0,0,0
2/19/2020,Brazil,,-14.235,-51.9253,0,0,0
2/20/2020,Brazil,,-14.235,-51.9253,0,0,0
2/21/2020,Brazil,,-14.235,-51.9253,0,0,0
2/22/2020,Brazil,,-14.235,-51.9253,0,0,0
2/23/2020,Brazil,,-14.235,-51.9253,0,0,0
2/24/2020,Brazil,,-14.235,-51.9253,0,0,0
2/25/2020,Brazil,,-14.235,-51.9253,0,0,0
2/26/2020,Brazil,,-14.235,-51.9253,1,0,0
2/27/2020,Brazil,,-14.235,-51.9253,1,0,0
2/28/2020,Brazil,,-14.235,-51.9253,1,0,0
2/29/2020,Brazil,,-14.235,-51.9253,2,0,0
3/1/2020,Brazil,,-14.235,-51.9253,2,0,0
3/2/2020,Brazil,,-14.235,-51.9253,2,0,0
3/3/2020,Brazil,,-14.235,-51.9253,2,0,0
3/4/2020,Brazil,,-14.235,-51.9253,4,0,0
3/5/2020,Brazil,,-14.235,-51.9253,4,0,0
3/6/2020,Brazil,,-14.235,-51.9253,13,0,0
3/7/2020,Brazil,,-14.235,-51.9253,13,0,0
3/8/2020,Brazil,,-14.235,-51.9253,20,0,0
3/9/2020,Brazil,,-14.235,-51.9253,25,0,0
3/10/2020,Brazil,,-14.235,-51.9253,31,0,0
3/11/2020,Brazil,,-14.235,-51.9253,38,0,0
3/12/2020,Brazil,,-14.235,-51.9253,52,0,0
3/13/2020,Brazil,,-14.235,-51.9253,151,0,0
3/14/2020,Brazil,,-14.235,-51.9253,151,0,0
3/15/2020,Brazil,,-14.235,-51.9253,162,0,0
3/16/2020,Brazil,,-14.235,-51.9253,200,1,0
3/17/2020,Brazil,,-14.235,-51.9253,321,2,1
3/18/2020,Brazil,,-14.235,-51.9253,372,2,3
3/19/2020,Brazil,,-14.235,-51.9253,621,2,6
3/20/2020,Brazil,,-14.235,-51.9253,793,2,11
3/21/2020,Brazil,,-14.235,-51.9253,1021,2,15
3/22/2020,Brazil,,-14.235,-51.9253,1546,2,25
3/23/2020,Brazil,,-14.235,-51.9253,1924,2,34
3/24/2020,Brazil,,-14.235,-51.9253,2247,2,46
3/25/2020,Brazil,,-14.235,-51.9253,2554,2,59
3/26/2020,Brazil,,-14.235,-51.9253,2985,6,77
3/27/2020,Brazil,,-14.235,-51.9253,3417,6,92
3/28/2020,Brazil,,-14.235,-51.9253,3904,6,111
3/29/2020,Brazil,,-14.235,-51.9253,4256,6,136
3/30/2020,Brazil,,-14.235,-51.9253,4579,120,159
3/31/2020,Brazil,,-14.235,-51.9253,5717,127,201
4/1/2020,Brazil,,-14.235,-51.9253,6836,127,240
4/2/2020,Brazil,,-14.235,-51.9253,8044,127,324
4/3/2020,Brazil,,-14.235,-51.9253,9056,127,359
4/4/2020,Brazil,,-14.235,-51.9253,10360,127,445
4/5/2020,Brazil,,-14.235,-51.9253,11130,127,486
4/6/2020,Brazil,,-14.235,-51.9253,12161,127,564
4/7/2020,Brazil,,-14.235,-51.9253,14034,127,686
4/8/2020,Brazil,,-14.235,-51.9253,16170,127,819
4/9/2020,Brazil,,-14.235,-51.9253,18092,173,950
4/10/2020,Brazil,,-14.235,-51.9253,19638,173,1057
4/11/2020,Brazil,,-14.235,-51.9253,20727,173,1124
4/12/2020,Brazil,,-14.235,-51.9253,22192,173,1223
4/13/2020,Brazil,,-14.235,-51.9253,23430,173,1328
4/14/2020,Brazil,,-14.235,-51.9253,25262,3046,1532
4/15/2020,Brazil,,-14.235,-51.9253,28320,14026,1736
4/16/2020,Brazil,,-14.235,-51.9253,30425,14026,1924
4/17/2020,Brazil,,-14.235,-51.9253,33682,14026,2141
4/18/2020,Brazil,,-14.235,-51.9253,36658,14026,2354
4/19/2020,Brazil,,-14.235,-51.9253,38654,22130,2462
4/20/2020,Brazil,,-14.235,-51.9253,40743,22130,2587
4/21/2020,Brazil,,-14.235,-51.9253,43079,22991,2741
4/22/2020,Brazil,,-14.235,-51.9253,45757,25318,2906
4/23/2020,Brazil,,-14.235,-51.9253,50036,26573,3331
4/24/2020,Brazil,,-14.235,-51.9253,54043,27655,3704
4/25/2020,Brazil,,-14.235,-51.9253,59324,29160,4057
4/26/2020,Brazil,,-14.235,-51.9253,63100,30152,4286
4/27/2020,Brazil,,-14.235,-51.9253,67446,31142,4603
4/28/2020,Brazil,,-14.235,-51.9253,73235,32544,5083
4/29/2020,Brazil,,-14.235,-51.9253,79685,34132,5513
4/30/2020,Brazil,,-14.235,-51.9253,87187,35935,6006
5/1/2020,Brazil,,-14.235,-51.9253,92202,38039,6412
5/2/2020,Brazil,,-14.235,-51.9253,97100,40937,6761
5/3/2020,Brazil,,-14.235,-51.9253,101826,42991,7051
5/4/2020,Brazil,,-14.235,-51.9253,108620,45815,7367
5/5/2020,Brazil,,-14.235,-51.9253,115455,48221,7938
5/6/2020,Brazil,,-14.235,-51.9253,126611,51370,8588
5/7/2020,Brazil,,-14.235,-51.9253,135773,55350,9190
5/8/2020,Brazil,,-14.235,-51.9253,146894,59297,10017
5/9/2020,Brazil,,-14.235,-51.9253,156061,61685,10656
5/10/2020,Brazil,,-14.235,-51.9253,162699,64957,11123
5/11/2020,Brazil,,-14.235,-51.9253,169594,67384,11653
5/12/2020,Brazil,,-14.235,-51.9253,178214,72597,12461
5/13/2020,Brazil,,-14.235,-51.9253,190137,78424,13240
5/14/2020,Brazil,,-14.235,-51.9253,203165,79479,13999
5/15/2020,Brazil,,-14.235,-51.9253,220291,84970,14962
5/16/2020,Brazil,,-14.235,-51.9253,233511,89672,15662
5/17/2020,Brazil,,-14.235,-51.9253,241080,94122,16118
5/18/2020,Brazil,,-14.235,-51.9253,255368,100459,16853
5/19/2020,Brazil,,-14.235,-51.9253,271885,106794,17983
5/20/2020,Brazil,,-14.235,-51.9253,291579,116683,18859
5/21/2020,Brazil,,-14.235,-51.9253,310087,125960,20047
5/22/2020,Brazil,,-14.235,-51.9253,330890,135430,21048
5/23/2020,Brazil,,-14.235,-51.9253,347398,142587,22013
5/24/2020,Brazil,,-14.235,-51.9253,363211,149911,22666
5/25/2020,Brazil,,-14.235,-51.9253,374898,153833,23473
5/26/2020,Brazil,,-14.235,-51.9253,391222,158593,24512
5/27/2020,Brazil,,-14.235,-51.9253,411821,166647,25598
5/28/2020,Brazil,,-14.235,-51.9253,438238,177604,26754
5/29/2020,Brazil,,-14.235,-51.9253,465166,189476,27878
5/30/2020,Brazil,,-14.235,-51.9253,498440,200892,28834
5/31/2020,Brazil,,-14.235,-51.9253,514849,206555,29314
6/1/2020,Brazil,,-14.235,-51.9253,526447,211080,29937
6/2/2020,Brazil,,-14.235,-51.9253,555383,223638,31199
6/3/2020,Brazil,,-14.235,-51.9253,584016,238617,32548
6/4/2020,Brazil,,-14.235,-51.9253,614941,254963,34021
6/5/2020,Brazil,,-14.235,-51.9253,645771,266940,35026
6/6/2020,Brazil,,-14.235,-51.9253,672846,277149,35930
6/7/2020,Brazil,,-14.235,-51.9253,691758,283952,36455
6/8/2020,Brazil,,-14.235,-51.9253,707412,378257,37134
6/9/2020,Brazil,,-14.235,-51.9253,739503,396737,38406
6/10/2020,Brazil,,-14.235,-51.9253,772416,413916,39680
6/11/2020,Brazil,,-14.235,-51.9253,802828,429965,40919
6/12/2020,Brazil,,-14.235,-51.9253,828810,445123,41828
6/13/2020,Brazil,,-14.235,-51.9253,850514,459436,42720
6/14/2020,Brazil,,-14.235,-51.9253,867624,469141,43332
6/15/2020,Brazil,,-14.235,-51.9253,888271,477709,43959
6/16/2020,Brazil,,-14.235,-51.9253,923189,490005,45241
6/17/2020,Brazil,,-14.235,-51.9253,955377,521046,46510
6/18/2020,Brazil,,-14.235,-51.9253,978142,534580,47748
6/19/2020,Brazil,,-14.235,-51.9253,1032913,551631,48954
6/20/2020,Brazil,,-14.235,-51.9253,1067579,576779,49976
6/21/2020,Brazil,,-14.235,-51.9253,1083341,588118,50591
6/22/2020,Brazil,,-14.235,-51.9253,1106470,601736,51271
6/23/2020,Brazil,,-14.235,-51.9253,1145906,627963,52645
6/24/2020,Brazil,,-14.235,-51.9253,1188631,660469,53830
6/25/2020,Brazil,,-14.235,-51.9253,1228114,679524,54971
6/26/2020,Brazil,,-14.235,-51.9253,1274974,702399,55961
6/27/2020,Brazil,,-14.235,-51.9253,1313667,727715,57070
6/28/2020,Brazil,,-14.235,-51.9253,1344143,746018,57622
6/29/2020,Brazil,,-14.235,-51.9253,1368195,757811,58314
6/30/2020,Brazil,,-14.235,-51.9253,1402041,788318,59594
7/1/2020,Brazil,,-14.235,-51.9253,1448753,817642,60632
7/2/2020,Brazil,,-14.235,-51.9253,1496858,957692,61884
1/22/2020,India,,21,78,0,0,0
1/23/2020,India,,21,78,0,0,0
1/24/2020,India,,21,78,0,0,0
1/25/2020,India,,21,78,0,0,0
1/26/2020,India,,21,78,0,0,0
1/27/2020,India,,21,78,0,0,0
1/28/2020,India,,21,78,0,0,0
1/29/2020,India,,21,78,0,0,0
1/30/2020,India,,21,78,1,0,0
1/31/2020,India,,21,78,1,0,0
2/1/2020,India,,21,78,1,0,0
2/2/2020,India,,21,78,2,0,0
2/3/2020,India,,21,78,3,0,0
2/4/2020,India,,21,78,3,0,0
2/5/2020,India,,21,78,3,0,0
2/6/2020,India,,21,78,3,0,0
2/7/2020,India,,21,78,3,0,0
2/8/2020,India,,21,78,3,0,0
2/9/2020,India,,21,78,3,0,0
2/10/2020,India,,21,78,3,0,0
2/11/2020,India,,21,78,3,0,0
2/12/2020,India,,21,78,3,0,0
2/13/2020,India,,21,78,3,0,0
2/14/2020,India,,21,78,3,0,0
2/15/2020,India,,21,78,3,0,0
2/16/2020,India,,21,78,3,3,0
2/17/2020,India,,21,78,3,3,0
