Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
1/22/2020,India,,21,78,0,0,0
1/23/2020,India,,21,78,0,0,0
1/24/2020,India,,21,78,0,0,0
1/25/2020,India,,21,78,0,0,0
1/26/2020,India,,21,78,0,0,0
1/27/2020,India,,21,78,0,0,0
1/28/2020,India,,21,78,0,0,0
1/29/2020,India,,21,78,0,0,0
1/30/2020,India,,21,78,1,0,0
1/31/2020,India,,21,78,1,0,0
2/1/2020,India,,21,78,1,0,0
2/2/2020,India,,21,78,2,0,0
2/3/2020,India,,21,78,3,0,0
2/4/2020,India,,21,78,3,0,0
2/5/2020,India,,21,78,3,0,0
2/6/2020,India,,21,78,3,0,0
2/7/2020,India,,21,78,3,0,0
2/8/2020,India,,21,78,3,0,0
2/9/2020,India,,21,78,3,0,0
2/10/2020,India,,21,78,3,0,0
2/11/2020,India,,21,78,3,0,0
2/12/2020,India,,21,78,3,0,0
2/13/2020,India,,21,78,3,0,0
2/14/2020,India,,21,78,3,0,0
2/15/2020,India,,21,78,3,0,0
2/16/2020,India,,21,78,3,3,0
2/17/2020,India,,21,78,3,3,0
2/18/2020,India,,21,78,3,3,0
2/19/2020,India,,21,78,3,3,0
2/20/2020,India,,21,78,3,3,0
2/21/2020,India,,21,78,3,3,0
2/22/2020,India,,21,78,3,3,0
2/23/2020,India,,21,78,3,3,0
2/24/2020,India,,21,78,3,3,0
2/25/2020,India,,21,78,3,3,0
2/26/2020,India,,21,78,3,3,0
2/27/2020,India,,21,78,3,3,0
2/28/2020,India,,21,78,3,3,0
2/29/2020,India,,21,78,3,3,0
3/1/2020,India,,21,78,3,3,0
3/2/2020,India,,21,78,5,3,0
3/3/2020,India,,21,78,5,3,0
3/4/2020,India,,21,78,28,3,0
3/5/2020,India,,21,78,30,3,0
3/6/2020,India,,21,78,31,3,0
3/7/2020,India,,21,78,34,3,0
3/8/2020,India,,21,78,39,3,0
3/9/2020,India,,21,78,43,3,0
3/10/2020,India,,21,78,56,4,0
3/11/2020,India,,21,78,62,4,1
3/12/2020,India,,21,78,73,4,1
3/13/2020,India,,21,78,82,4,2
3/14/2020,India,,21,78,102,4,2
3/15/2020,India,,21,78,113,13,2
3/16/2020,India,,21,78,119,13,2
3/17/2020,India,,21,78,142,14,3
3/18/2020,India,,21,78,156,14,3
3/19/2020,India,,21,78,194,15,4
3/20/2020,India,,21,78,244,20,5
3/21/2020,India,,21,78,330,23,4
3/22/2020,India,,21,78,396,27,7
3/23/2020,India,,21,78,499,27,10
3/24/2020,India,,21,78,536,40,10
3/25/2020,India,,21,78,657,43,12
3/26/2020,India,,21,78,727,45,20
3/27/2020,India,,21,78,887,73,20
3/28/2020,India,,21,78,987,84,24
3/29/2020,India,,21,78,1024,95,27
3/30/2020,India,,21,78,1251,102,32
3/31/2020,India,,21,78,1397,123,35
4/1/2020,India,,21,78,1998,148,58
4/2/2020,India,,21,78,2543,191,72
4/3/2020,India,,21,78,2567,192,72
4/4/2020,India,,21,78,3082,229,86
4/5/2020,India,,21,78,3588,229,99
4/6/2020,India,,21,78,4778,375,136
4/7/2020,India,,21,78,5311,421,150
4/8/2020,India,,21,78,5916,506,178
4/9/2020,India,,21,78,6725,620,226
4/10/2020,India,,21,78,7598,774,246
4/11/2020,India,,21,78,8446,969,288
4/12/2020,India,,21,78,9205,1080,331
4/13/2020,India,,21,78,10453,1181,358
4/14/2020,India,,21,78,11487,1359,393
4/15/2020,India,,21,78,12322,1432,405
4/16/2020,India,,21,78,13430,1768,448
4/17/2020,India,,21,78,14352,2041,486
4/18/2020,India,,21,78,15722,2463,521
4/19/2020,India,,21,78,17615,2854,559
4/20/2020,India,,21,78,18539,3273,592
4/21/2020,India,,21,78,20080,3975,645
4/22/2020,India,,21,78,21370,4370,681
4/23/2020,India,,21,78,23077,5012,721
4/24/2020,India,,21,78,24530,5498,780
4/25/2020,India,,21,78,26283,5939,825
4/26/2020,India,,21,78,27890,6523,881
4/27/2020,India,,21,78,29451,7137,939
4/28/2020,India,,21,78,31324,7747,1008
4/29/2020,India,,21,78,33062,8437,1079
4/30/2020,India,,21,78,34863,9068,1154
5/1/2020,India,,21,78,37257,10007,1223
5/2/2020,India,,21,78,39699,10819,1323
5/3/2020,India,,21,78,42505,11775,1391
5/4/2020,India,,21,78,46437,12847,1566
5/5/2020,India,,21,78,49400,14142,1693
5/6/2020,India,,21,78,52987,15331,1785
5/7/2020,India,,21,78,56351,16776,1889
5/8/2020,India,,21,78,59695,17887,1985
5/9/2020,India,,21,78,62808,19301,2101
5/10/2020,India,,21,78,67161,20969,2212
5/11/2020,India,,21,78,70768,22549,2294
5/12/2020,India,,21,78,74292,24420,2415
5/13/2020,India,,21,78,78055,26400,2551
5/14/2020,India,,21,78,81997,27969,2649
5/15/2020,India,,21,78,85784,30258,2753
5/16/2020,India,,21,78,90648,34224,2871
