Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
1/22/2020,Iran,,32,53,0,0,0
1/23/2020,Iran,,32,53,0,0,0
1/24/2020,Iran,,32,53,0,0,0
1/25/2020,Iran,,32,53,0,0,0
1/26/2020,Iran,,32,53,0,0,0
1/27/2020,Iran,,32,53,0,0,0
1/28/2020,Iran,,32,53,0,0,0
1/29/2020,Iran,,32,53,0,0,0
1/30/2020,Iran,,32,53,0,0,0
1/31/2020,Iran,,32,53,0,0,0
2/1/2020,Iran,,32,53,0,0,0
2/2/2020,Iran,,32,53,0,0,0
2/3/2020,Iran,,32,53,0,0,0
2/4/2020,Iran,,32,53,0,0,0
2/5/2020,Iran,,32,53,0,0,0
2/6/2020,Iran,,32,53,0,0,0
2/7/2020,Iran,,32,53,0,0,0
2/8/2020,Iran,,32,53,0,0,0
2/9/2020,Iran,,32,53,0,0,0
2/10/2020,Iran,,32,53,0,0,0
2/11/2020,Iran,,32,53,0,0,0
2/12/2020,Iran,,32,53,0,0,0
2/13/2020,Iran,,32,53,0,0,0
2/14/2020,Iran,,32,53,0,0,0
2/15/2020,Iran,,32,53,0,0,0
2/16/2020,Iran,,32,53,0,0,0
2/17/2020,Iran,,32,53,0,0,0
2/18/2020,Iran,,32,53,0,0,0
2/19/2020,Iran,,32,53,2,0,2
2/20/2020,Iran,,32,53,5,0,2
2/21/2020,Iran,,32,53,18,0,4
2/22/2020,Iran,,32,53,28,0,5
2/23/2020,Iran,,32,53,43,0,8
2/24/2020,Iran,,32,53,61,0,12
2/25/2020,Iran,,32,53,95,0,16
2/26/2020,Iran,,32,53,139,49,19
2/27/2020,Iran,,32,53,245,49,26
2/28/2020,Iran,,32,53,388,73,34
2/29/2020,Iran,,32,53,593,123,43
3/1/2020,Iran,,32,53,978,175,54
3/2/2020,Iran,,32,53,1501,291,66
3/3/2020,Iran,,32,53,2336,291,77
3/4/2020,Iran,,32,53,2922,552,92
3/5/2020,Iran,,32,53,3513,739,107
3/6/2020,Iran,,32,53,4747,913,124
3/7/2020,Iran,,32,53,5823,1669,145
3/8/2020,Iran,,32,53,6566,2134,194
3/9/2020,Iran,,32,53,7161,2394,237
3/10/2020,Iran,,32,53,8042,2731,291
3/11/2020,Iran,,32,53,9000,2959,354
3/12/2020,Iran,,32,53,10075,2959,429
3/13/2020,Iran,,32,53,11364,2959,514
3/14/2020,Iran,,32,53,12729,2959,611
3/15/2020,Iran,,32,53,13938,4590,724
3/16/2020,Iran,,32,53,14991,4590,853
3/17/2020,Iran,,32,53,16169,5389,988
3/18/2020,Iran,,32,53,17361,5389,1135
3/19/2020,Iran,,32,53,18407,5710,1284
3/20/2020,Iran,,32,53,19644,6745,1433
3/21/2020,Iran,,32,53,20610,7635,1556
3/22/2020,Iran,,32,53,21638,7931,1685
3/23/2020,Iran,,32,53,23049,7931,1812
3/24/2020,Iran,,32,53,24811,8913,1934
3/25/2020,Iran,,32,53,27017,9625,2077
