Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
1/22/2020,Italy,,43,12,0,0,0
1/23/2020,Italy,,43,12,0,0,0
1/24/2020,Italy,,43,12,0,0,0
1/25/2020,Italy,,43,12,0,0,0
1/26/2020,Italy,,43,12,0,0,0
1/27/2020,Italy,,43,12,0,0,0
1/28/2020,Italy,,43,12,0,0,0
1/29/2020,Italy,,43,12,0,0,0
1/30/2020,Italy,,43,12,0,0,0
1/31/2020,Italy,,43,12,2,0,0
2/1/2020,Italy,,43,12,2,0,0
2/2/2020,Italy,,43,12,2,0,0
2/3/2020,Italy,,43,12,2,0,0
2/4/2020,Italy,,43,12,2,0,0
2/5/2020,Italy,,43,12,2,0,0
2/6/2020,Italy,,43,12,2,0,0
2/7/2020,Italy,,43,12,3,0,0
2/8/2020,Italy,,43,12,3,0,0
2/9/2020,Italy,,43,12,3,0,0
2/10/2020,Italy,,43,12,3,0,0
2/11/2020,Italy,,43,12,3,0,0
2/12/2020,Italy,,43,12,3,0,0
2/13/2020,Italy,,43,12,3,0,0
2/14/2020,Italy,,43,12,3,0,0
2/15/2020,Italy,,43,12,3,0,0
2/16/2020,Italy,,43,12,3,0,0
2/17/2020,Italy,,43,12,3,0,0
2/18/2020,Italy,,43,12,3,0,0
2/19/2020,Italy,,43,12,3,0,0
2/20/2020,Italy,,43,12,3,0,0
2/21/2020,Italy,,43,12,20,0,1
2/22/2020,Italy,,43,12,62,1,2
2/23/2020,Italy,,43,12,155,2,3
2/24/2020,Italy,,43,12,229,1,7
2/25/2020,Italy,,43,12,322,1,10
2/26/2020,Italy,,43,12,453,3,12
2/27/2020,Italy,,43,12,655,45,17
2/28/2020,Italy,,43,12,888,46,21
2/29/2020,Italy,,43,12,1128,46,29
3/1/2020,Italy,,43,12,1694,83,34
3/2/2020,Italy,,43,12,2036,149,52
3/3/2020,Italy,,43,12,2502,160,79
3/4/2020,Italy,,43,12,3089,276,107
3/5/2020,Italy,,43,12,3858,414,148
