Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
1/22/2020,Mexico,,23.6345,-102.5528,0,0,0
1/23/2020,Mexico,,23.6345,-102.5528,0,0,0
1/24/2020,Mexico,,23.6345,-102.5528,0,0,0
1/25/2020,Mexico,,23.6345,-102.5528,0,0,0
1/26/2020,Mexico,,23.6345,-102.5528,0,0,0
1/27/2020,Mexico,,23.6345,-102.5528,0,0,0
1/28/2020,Mexico,,23.6345,-102.5528,0,0,0
1/29/2020,Mexico,,23.6345,-102.5528,0,0,0
1/30/2020,Mexico,,23.6345,-102.5528,0,0,0
1/31/2020,Mexico,,23.6345,-102.5528,0,0,0
2/1/2020,Mexico,,23.6345,-102.5528,0,0,0
2/2/2020,Mexico,,23.6345,-102.5528,0,0,0
2/3/2020,Mexico,,23.6345,-102.5528,0,0,0
2/4/2020,Mexico,,23.6345,-102.5528,0,0,0
2/5/2020,Mexico,,23.6345,-102.5528,0,0,0
2/6/2020,Mexico,,23.6345,-102.5528,0,0,0
2/7/2020,Mexico,,23.6345,-102.5528,0,0,0
2/8/2020,Mexico,,23.6345,-102.5528,0,0,0
2/9/2020,Mexico,,23.6345,-102.5528,0,0,0
2/10/2020,Mexico,,23.6345,-102.5528,0,0,0
2/11/2020,Mexico,,23.6345,-102.5528,0,0,0
2/12/2020,Mexico,,23.6345,-102.5528,0,0,0
2/13/2020,Mexico,,23.6345,-102.5528,0,0,0
2/14/2020,Mexico,,23.6345,-102.5528,0,0,0
2/15/2020,Mexico,,23.6345,-102.5528,0,0,0
2/16/2020,Mexico,,23.6345,-102.5528,0,0,0
2/17/2020,Mexico,,23.6345,-102.5528,0,0,0
2/18/2020,Mexico,,23.6345,-102.5528,0,0,0
2/19/2020,Mexico,,23.6345,-102.5528,0,0,0
2/20/2020,Mexico,,23.6345,-102.5528,0,0,0
2/21/2020,Mexico,,23.6345,-102.5528,0,0,0
2/22/2020,Mexico,,23.6345,-102.5528,0,0,0
2/23/2020,Mexico,,23.6345,-102.5528,0,0,0
2/24/2020,Mexico,,23.6345,-102.5528,0,0,0
2/25/2020,Mexico,,23.6345,-102.5528,0,0,0
2/26/2020,Mexico,,23.6345,-102.5528,0,0,0
2/27/2020,Mexico,,23.6345,-102.5528,0,0,0
2/28/2020,Mexico,,23.6345,-102.5528,1,0,0
2/29/2020,Mexico,,23.6345,-102.5528,4,0,0
3/1/2020,Mexico,,23.6345,-102.5528,5,0,0
3/2/2020,Mexico,,23.6345,-102.5528,5,0,0
3/3/2020,Mexico,,23.6345,-102.5528,5,1,0
3/4/2020,Mexico,,23.6345,-102.5528,5,1,0
3/5/2020,Mexico,,23.6345,-102.5528,5,1,0
3/6/2020,Mexico,,23.6345,-102.5528,6,1,0
3/7/2020,Mexico,,23.6345,-102.5528,6,1,0
3/8/2020,Mexico,,23.6345,-102.5528,7,1,0
3/9/2020,Mexico,,23.6345,-102.5528,7,1,0
3/10/2020,Mexico,,23.6345,-102.5528,7,4,0
3/11/2020,Mexico,,23.6345,-102.5528,8,4,0
3/12/2020,Mexico,,23.6345,-102.5528,12,4,0
3/13/2020,Mexico,,23.6345,-102.5528,26,4,0
3/14/2020,Mexico,,23.6345,-102.5528,41,4,0
3/15/2020,Mexico,,23.6345,-102.5528,53,4,0
3/16/2020,Mexico,,23.6345,-102.5528,82,4,0
3/17/2020,Mexico,,23.6345,-102.5528,93,4,0
3/18/2020,Mexico,,23.6345,-102.5528,118,4,0
3/19/2020,Mexico,,23.6345,-102.5528,164,4,1
3/20/2020,Mexico,,23.6345,-102.5528,203,4,2
3/21/2020,Mexico,,23.6345,-102.5528,251,4,2
3/22/2020,Mexico,,23.6345,-102.5528,316,4,3
3/23/2020,Mexico,,23.6345,-102.5528,367,4,4
3/24/2020,Mexico,,23.6345,-102.5528,405,4,5
3/25/2020,Mexico,,23.6345,-102.5528,475,4,6
3/26/2020,Mexico,,23.6345,-102.5528,585,4,8
3/27/2020,Mexico,,23.6345,-102.5528,717,4,12
3/28/2020,Mexico,,23.6345,-102.5528,848,4,16
3/29/2020,Mexico,,23.6345,-102.5528,993,4,20
3/30/2020,Mexico,,23.6345,-102.5528,1094,35,28
3/31/2020,Mexico,,23.6345,-102.5528,1215,35,29
4/1/2020,Mexico,,23.6345,-102.5528,1378,35,37
4/2/2020,Mexico,,23.6345,-102.5528,1510,35,50
4/3/2020,Mexico,,23.6345,-102.5528,1688,633,60
4/4/2020,Mexico,,23.6345,-102.5528,1890,633,79
4/5/2020,Mexico,,23.6345,-102.5528,2143,633,94
4/6/2020,Mexico,,23.6345,-102.5528,2439,633,125
