Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,
1/22/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/23/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/24/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/25/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/26/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/27/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/28/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/29/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/30/2020,United Kingdom,,55.3781,-3.436,0,0,0
1/31/2020,United Kingdom,,55.3781,-3.436,2,0,0
2/1/2020,United Kingdom,,55.3781,-3.436,2,0,0
2/2/2020,United Kingdom,,55.3781,-3.436,2,0,0
2/3/2020,United Kingdom,,55.3781,-3.436,8,0,0
2/4/2020,United Kingdom,,55.3781,-3.436,8,0,0
2/5/2020,United Kingdom,,55.3781,-3.436,9,0,0
2/6/2020,United Kingdom,,55.3781,-3.436,9,0,0
2/7/2020,United Kingdom,,55.3781,-3.436,9,0,0
2/8/2020,United Kingdom,,55.3781,-3.436,13,0,0
2/9/2020,United Kingdom,,55.3781,-3.436,14,0,0
2/10/2020,United Kingdom,,55.3781,-3.436,14,0,0
2/11/2020,United Kingdom,,55.3781,-3.436,15,0,0
2/12/2020,United Kingdom,,55.3781,-3.436,16,1,0
2/13/2020,United Kingdom,,55.3781,-3.436,17,1,0
2/14/2020,United Kingdom,,55.3781,-3.436,18,1,0
2/15/2020,United Kingdom,,55.3781,-3.436,18,1,0
2/16/2020,United Kingdom,,55.3781,-3.436,18,8,0
2/17/2020,United Kingdom,,55.3781,-3.436,19,8,0
2/18/2020,United Kingdom,,55.3781,-3.436,19,8,0
2/19/2020,United Kingdom,,55.3781,-3.436,20,8,0
2/20/2020,United Kingdom,,55.3781,-3.436,22,8,0
2/21/2020,United Kingdom,,55.3781,-3.436,23,8,0
2/22/2020,United Kingdom,,55.3781,-3.436,23,8,0
2/23/2020,United Kingdom,,55.3781,-3.436,28,8,0
2/24/2020,United Kingdom,,55.3781,-3.436,30,8,0
2/25/2020,United Kingdom,,55.3781,-3.436,34,8,0
2/26/2020,United Kingdom,,55.3781,-3.436,37,8,0
2/27/2020,United Kingdom,,55.3781,-3.436,44,8,0
2/28/2020,United Kingdom,,55.3781,-3.436,56,8,0
2/29/2020,United Kingdom,,55.3781,-3.436,61,8,0
3/1/2020,United Kingdom,,55.3781,-3.436,94,8,0
3/2/2020,United Kingdom,,55.3781,-3.436,134,8,0
3/3/2020,United Kingdom,,55.3781,-3.436,189,8,0
3/4/2020,United Kingdom,,55.3781,-3.436,245,8,0
3/5/2020,United Kingdom,,55.3781,-3.436,294,8,0
3/6/2020,United Kingdom,,55.3781,-3.436,373,8,1
3/7/2020,United Kingdom,,55.3781,-3.436,428,18,2
3/8/2020,United Kingdom,,55.3781,-3.436,482,18,2
3/9/2020,United Kingdom,,55.3781,-3.436,629,18,3
3/10/2020,United Kingdom,,55.3781,-3.436,887,18,7
3/11/2020,United Kingdom,,55.3781,-3.436,1298,18,7
3/12/2020,United Kingdom,,55.3781,-3.436,1787,18,9
3/13/2020,United Kingdom,,55.3781,-3.436,2266,18,10
3/14/2020,United Kingdom,,55.3781,-3.436,2630,18,28
3/15/2020,United Kingdom,,55.3781,-3.436,3072,18,43
3/16/2020,United Kingdom,,55.3781,-3.436,3684,20,65
3/17/2020,United Kingdom,,55.3781,-3.436,4452,52,81
3/18/2020,United Kingdom,,55.3781,-3.436,5451,65,115
3/19/2020,United Kingdom,,55.3781,-3.436,6506,65,158
3/20/2020,United Kingdom,,55.3781,-3.436,7760,65,194
3/21/2020,United Kingdom,,55.3781,-3.436,8957,65,250
3/22/2020,United Kingdom,,55.3781,-3.436,10333,65,285
3/23/2020,United Kingdom,,55.3781,-3.436,12668,65,359
3/24/2020,United Kingdom,,55.3781,-3.436,15039,135,508
3/25/2020,United Kingdom,,55.3781,-3.436,17732,135,694
3/26/2020,United Kingdom,,55.3781,-3.436,20816,135,877
3/27/2020,United Kingdom,,55.3781,-3.436,24017,135,1161
3/28/2020,United Kingdom,,55.3781,-3.436,26839,135,1455
3/29/2020,United Kingdom,,55.3781,-3.436,29696,135,1669
3/30/2020,United Kingdom,,55.3781,-3.436,33969,135,2043
3/31/2020,United Kingdom,,55.3781,-3.436,38484,135,2425
4/1/2020,United Kingdom,,55.3781,-3.436,43398,135,3095
4/2/2020,United Kingdom,,55.3781,-3.436,48263,135,3747
4/3/2020,United Kingdom,,55.3781,-3.436,53178,135,4461
4/4/2020,United Kingdom,,55.3781,-3.436,57198,135,5221
4/5/2020,United Kingdom,,55.3781,-3.436,60792,135,5865
4/6/2020,United Kingdom,,55.3781,-3.436,66067,135,6433
4/7/2020,United Kingdom,,55.3781,-3.436,71517,135,7471
4/8/2020,United Kingdom,,55.3781,-3.436,76646,135,8505
4/9/2020,United Kingdom,,55.3781,-3.436,81498,135,9608
4/10/2020,United Kingdom,,55.3781,-3.436,85813,344,10760
4/11/2020,United Kingdom,,55.3781,-3.436,89390,344,11599
4/12/2020,United Kingdom,,55.3781,-3.436,92885,344,12285
4/13/2020,United Kingdom,,55.3781,-3.436,97068,0,13029
4/14/2020,United Kingdom,,55.3781,-3.436,101393,0,14073
