Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
1/22/2020,US,,37.0902,-95.7129,1,0,0
1/23/2020,US,,37.0902,-95.7129,1,0,0
1/24/2020,US,,37.0902,-95.7129,2,0,0
1/25/2020,US,,37.0902,-95.7129,2,0,0
1/26/2020,US,,37.0902,-95.7129,5,0,0
1/27/2020,US,,37.0902,-95.7129,5,0,0
1/28/2020,US,,37.0902,-95.7129,5,0,0
1/29/2020,US,,37.0902,-95.7129,5,0,0
1/30/2020,US,,37.0902,-95.7129,5,0,0
1/31/2020,US,,37.0902,-95.7129,7,0,0
2/1/2020,US,,37.0902,-95.7129,8,0,0
2/2/2020,US,,37.0902,-95.7129,8,0,0
2/3/2020,US,,37.0902,-95.7129,11,0,0
2/4/2020,US,,37.0902,-95.7129,11,0,0
2/5/2020,US,,37.0902,-95.7129,11,0,0
2/6/2020,US,,37.0902,-95.7129,11,0,0
2/7/2020,US,,37.0902,-95.7129,11,0,0
2/8/2020,US,,37.0902,-95.7129,11,0,0
2/9/2020,US,,37.0902,-95.7129,11,3,0
2/10/2020,US,,37.0902,-95.7129,11,3,0
2/11/2020,US,,37.0902,-95.7129,12,3,0
2/12/2020,US,,37.0902,-95.7129,12,3,0
2/13/2020,US,,37.0902,-95.7129,13,3,0
2/14/2020,US,,37.0902,-95.7129,13,3,0
2/15/2020,US,,37.0902,-95.7129,13,3,0
2/16/2020,US,,37.0902,-95.7129,13,3,0
2/17/2020,US,,37.0902,-95.7129,13,3,0
2/18/2020,US,,37.0902,-95.7129,13,3,0
2/19/2020,US,,37.0902,-95.7129,13,3,0
2/20/2020,US,,37.0902,-95.7129,13,3,0
2/21/2020,US,,37.0902,-95.7129,15,5,0
2/22/2020,US,,37.0902,-95.7129,15,5,0
2/23/2020,US,,37.0902,-95.7129,15,5,0
2/24/2020,US,,37.0902,-95.7129,15,5,0
2/25/2020,US,,37.0902,-95.7129,15,6,0
2/26/2020,US,,37.0902,-95.7129,15,6,0
2/27/2020,US,,37.0902,-95.7129,16,6,0
2/28/2020,US,,37.0902,-95.7129,16,7,0
2/29/2020,US,,37.0902,-95.7129,24,7,1
3/1/2020,US,,37.0902,-95.7129,30,7,1
3/2/2020,US,,37.0902,-95.7129,53,7,6
3/3/2020,US,,37.0902,-95.7129,73,7,7
3/4/2020,US,,37.0902,-95.7129,104,7,11
3/5/2020,US,,37.0902,-95.7129,174,7,12
3/6/2020,US,,37.0902,-95.7129,222,7,14
3/7/2020,US,,37.0902,-95.7129,337,7,17
3/8/2020,US,,37.0902,-95.7129,451,7,21
3/9/2020,US,,37.0902,-95.7129,519,7,22
3/10/2020,US,,37.0902,-95.7129,711,8,28
3/11/2020,US,,37.0902,-95.7129,1109,8,33
3/12/2020,US,,37.0902,-95.7129,1561,12,43
3/13/2020,US,,37.0902,-95.7129,2157,12,52
3/14/2020,US,,37.0902,-95.7129,2870,12,58
3/15/2020,US,,37.0902,-95.7129,2968,12,70
3/16/2020,US,,37.0902,-95.7129,4360,17,97
3/17/2020,US,,37.0902,-95.7129,6141,17,131
3/18/2020,US,,37.0902,-95.7129,8917,105,188
3/19/2020,US,,37.0902,-95.7129,14157,121,265
3/20/2020,US,,37.0902,-95.7129,19479,147,362
3/21/2020,US,,37.0902,-95.7129,25825,176,456
3/22/2020,US,,37.0902,-95.7129,33761,178,601
3/23/2020,US,,37.0902,-95.7129,43850,178,784
3/24/2020,US,,37.0902,-95.7129,54112,348,1021
3/25/2020,US,,37.0902,-95.7129,66055,361,1333
3/26/2020,US,,37.0902,-95.7129,84091,681,1746
3/27/2020,US,,37.0902,-95.7129,102276,869,2300
3/28/2020,US,,37.0902,-95.7129,122069,1072,2934
3/29/2020,US,,37.0902,-95.7129,141205,2665,3561
3/30/2020,US,,37.0902,-95.7129,162707,5644,4381
3/31/2020,US,,37.0902,-95.7129,188724,7024,5605
4/1/2020,US,,37.0902,-95.7129,214205,8474,6846
4/2/2020,US,,37.0902,-95.7129,244610,9001,8432
4/3/2020,US,,37.0902,-95.7129,276547,9707,9747
4/4/2020,US,,37.0902,-95.7129,309699,14652,11031
4/5/2020,US,,37.0902,-95.7129,337573,17448,12470
4/6/2020,US,,37.0902,-95.7129,367215,19581,14138
4/7/2020,US,,37.0902,-95.7129,397992,21763,16447
4/8/2020,US,,37.0902,-95.7129,429686,23559,18563
4/9/2020,US,,37.0902,-95.7129,464442,25410,20638
4/10/2020,US,,37.0902,-95.7129,497943,28790,22731
4/11/2020,US,,37.0902,-95.7129,527969,31270,24777
4/12/2020,US,,37.0902,-95.7129,556522,32988,26548
4/13/2020,US,,37.0902,-95.7129,581813,43482,28376
4/14/2020,US,,37.0902,-95.7129,608878,47763,30780
4/15/2020,US,,37.0902,-95.7129,637974,52096,33329
4/16/2020,US,,37.0902,-95.7129,669272,54703,35442
4/17/2020,US,,37.0902,-95.7129,701996,58545,38056
4/18/2020,US,,37.0902,-95.7129,730337,64840,40442
4/19/2020,US,,37.0902,-95.7129,756375,70337,41671
4/20/2020,US,,37.0902,-95.7129,783716,72329,43466
4/21/2020,US,,37.0902,-95.7129,809228,75204,45919
